,ADYEY,AFRM,ALKT,AVLR,BILL,BTRS,BL,BHG,CLOV,COIN,COMP,DLO,DOMA,DCT,ENV,EVER,FLT,FLYW,FCH.L,GDOT,HIPO,INTA,KPLT,LMND,LSPD,LDI,LU,MQ,MELI,MILE,ML,NCNO,OLO,OPEN,OSCR,PAGS,PAY,PAYO,PYPL,QTWO,RDFN,ROOT,SEZNL,SHOP,SOFI,SQ,STNE,UPST,VIRT,XROLF
2021-05-27,690900020.5993654,13348570213.317871,2877271160.65979,11006725255.845482,12234199493.408203,2132406923.942566,6029099822.998048,,3195422968.864441,51557798635.86426,4966920129.776001,,2167697408.0,5076742440.948486,3882866916.96167,900788684.6351624,22917681152.0,3382297539.4439697,594973577.4601245,2212649974.822998,290000000.0,,89250000.0,5160000000.0,10969778227.33445,2023007104.0,31406759127.616882,,67546750000.0,1058987951.9081116,1366295168.0,5661619956.970215,5263716575.616452,8966549935.340881,5089105389.862061,16173299446.105957,3052000000.0,219340005.8746338,308769301452.63666,5400129085.922241,6119632768.249512,2254229961.3952637,1316230345.6467474,157586675659.1797,653070030.2124023,110670896942.13869,20890799903.86963,15181530166.625977,4881985024.0,15338714803.2
2021-05-28,694499988.5559082,14168730319.976809,2859223839.34021,11074595391.353798,12360359848.02246,2243813029.9282074,6030260070.800781,,3117883945.5127716,49356434999.08447,5080319841.384888,,2167697408.0,5172803080.711365,3916607466.430664,907118119.7547913,22917681152.0,3486883615.4937744,637878199.0764806,2232450008.392334,289709993.36242676,,91910000.80108643,5428200073.2421875,10843255406.663797,2023007104.0,30974788933.753967,,67729701690.67383,1069073542.2897339,1366295168.0,5745279899.597169,5152596547.191408,8847899913.787842,5234271152.534485,16206300201.416016,3579480000.0,220000000.0,309423786926.2696,5345508317.184448,6141481072.998047,2307359971.0464478,1348864071.7317026,157844489379.8828,664949987.411499,111482522140.50291,20780550384.52148,13488020111.083984,4881985024.0,15338714803.2
2021-05-31,694499988.5559082,14168730319.976809,2859223839.34021,11074595391.353798,12360359848.02246,2243813029.9282074,6030260070.800781,,3117883945.5127716,49356434999.08447,5080319841.384888,,2167697408.0,5172803080.711365,3916607466.430664,907118119.7547913,22917681152.0,3486883615.4937744,639129633.8719696,2232450008.392334,289709993.36242676,,91910000.80108643,5428200073.2421875,10843255406.663797,2023007104.0,30974788933.753967,,67729701690.67383,1069073542.2897339,1366295168.0,5745279899.597169,5152596547.191408,8847899913.787842,5234271152.534485,16206300201.416016,3579480000.0,220000000.0,309423786926.2696,5345508317.184448,6141481072.998047,2307359971.0464478,1348864071.7317026,157844489379.8828,664949987.411499,111482522140.50291,20780550384.52148,13488020111.083984,4881985024.0,15338714803.2
2021-06-01,697050018.310547,14567160106.658936,2885865357.36084,10836630562.185013,12581969696.044922,2284609665.8420563,5965880035.400391,,3154613007.78389,49855132271.728516,4887540115.356445,,2167697408.0,5111040161.1328125,3921505067.138672,893883891.2200928,22917681152.0,3434082769.012451,642190678.9823202,2200549907.684326,289709993.36242676,,92890003.2043457,5503200073.2421875,10465195783.912455,2023007104.0,31559220193.862915,,68238169256.5918,1071595000.0,1366295168.0,5790399856.567383,5316992824.983746,8604949741.363525,5246713841.781616,16057799949.645996,3726180000.0,219120000.8392334,308531286926.2696,5370284854.660034,6030158304.748535,2340250000.0,1359742049.6828825,158948127441.40625,17999728196.849823,111196948471.06934,20519099807.739258,13148590499.87793,4881985024.0,15338714803.2
2021-06-02,679650020.5993654,15200919502.2583,2882427678.68042,10830764612.78273,12943020202.636719,2322268029.9282074,5978640106.201172,,3566793906.5933228,50178555908.5083,5095439826.965332,,2167697408.0,5211359939.575195,3920416849.822998,918338402.1949768,22917681152.0,3304111692.9626465,652783548.8433795,2257200050.354004,289709993.36242676,,95410000.80108643,5941799926.7578125,10608285933.525103,2023007104.0,32423160581.588745,,67918130065.91797,1153540451.9081116,1366295168.0,5784760086.05957,5472255780.208444,9237750215.530396,5296485389.862061,16797000503.54004,3931560000.0,220879999.1607666,311982315979.00397,5371410865.6311035,6108188304.748535,2489520038.6047363,1359742049.6828825,156157925659.1797,18444754172.439575,110425411834.7168,20812049903.86963,14299739944.458008,4881985024.0,15338714803.2
2021-06-03,653249988.5559082,14734920391.082764,2832582321.31958,10526605190.756292,12150369949.34082,2322268029.9282074,5868440017.700195,,3648413828.754425,48755496364.13574,5223959884.643555,9487678621.21582,2167697408.0,5217959838.8671875,3894295067.138672,918050695.6100464,22917681152.0,3176171269.721985,643417400.4127712,2272050075.531006,289275011.0626221,,94989997.86376953,5812799835.205077,10433564216.059042,2023007104.0,32143649030.685425,,66008878717.041016,1177493819.2367554,1366295168.0,5721779899.597169,5546842529.018218,9209499568.939209,5327592310.752869,17400899848.93799,3631118462.677002,225720005.0354004,306770110168.4571,5354517693.786621,6114430847.625732,2423739980.6976323,1359742049.6828825,152273000000.0,18023569442.52014,105926426330.5664,20109600048.065186,14999530166.625977,4881985024.0,15338714803.2
2021-06-04,678000011.4440918,13898450355.529783,2841176518.02063,10457059529.355425,12323839645.385742,2396015771.8276978,5889900177.001952,,3672900000.0,47739319999.08447,5273099927.902222,10111598534.088135,2167697408.0,5253599899.291992,4320948083.03833,922366239.5095825,22917681152.0,3235064461.9750977,644752183.2907474,2284700050.354004,290000000.0,,96670002.9373169,5750999908.447266,10822168461.425941,2023007104.0,31838729321.479797,,66072189190.67383,1198925728.855133,1366295168.0,5830819885.253907,6091785096.284364,9249050474.166872,5329666158.218384,17123699798.583984,3635812746.2768555,223080007.5531006,313017610168.4571,5362401489.028931,5950047457.122803,2403500000.0,1359742049.6828825,153128978759.76562,16545445557.479858,107058691223.14453,20200949134.82666,14927639389.038086,4881985024.0,15338714803.2
2021-06-07,688950004.5776367,13854179786.682129,2865239613.1134033,10952261916.605246,12781170455.932617,2417983076.057434,5978059982.299805,,4864552031.135559,48294356363.220215,5239079870.223999,9997359912.872314,2167697408.0,5068800201.416016,4318771233.215332,971275151.7105103,22917681152.0,3114231807.746887,627012482.3230304,2290750083.92334,290000000.0,,97720000.26702881,5940600128.173829,10876392363.03483,2023007104.0,32067419709.205627,,66060718579.10156,1279610451.9081116,1366295168.0,5808260086.05957,6384044369.209401,9503299827.575686,6065865000.0,17150100402.832031,3338892089.538574,222200008.39233398,310114007263.18353,5406323220.291138,6207026384.124756,2479400048.2559204,1527262266.0701978,156279856201.17188,16855374172.439575,108691948471.06934,19996199855.804443,15470000000.0,4881985024.0,15021464883.226206
2021-06-08,697350025.177002,14560170391.082764,2835160744.2474365,11005887811.303255,13333949493.408203,2430535864.086151,5973419876.098632,,9039414844.322205,46042916364.13574,5533920129.776001,9423235863.64746,2167697408.0,5149319778.442383,4266528083.03833,990551108.7799072,22917681152.0,3004568615.4937744,610768426.253725,2406799907.684326,289130007.74383545,,101640003.2043457,6217799835.205077,11105337982.109781,2023007104.0,31508399030.685425,,65379771960.44922,1446022933.664322,1366295168.0,5957720100.402831,6525607635.125465,10096550474.16687,5947658463.2873535,17051099395.751953,3262607910.461426,222860002.5177002,313148492736.81647,5375915768.737793,6526429152.374268,2861430106.163025,1849249187.5687203,156303978759.76562,18985143614.959717,107274117553.71094,19800900192.260742,14742909500.12207,4881985024.0,15199543980.0918
2021-06-09,702749977.1118164,14040579608.917236,2744064226.2268066,10919583656.662052,12862510101.31836,2399153894.0143585,5966460159.301759,,6905052031.135559,46806612728.271484,5639760028.839111,9229909267.044067,2167697408.0,5049000000.0,4255643833.92334,973289152.6794434,22917681152.0,2953798615.4937744,617106974.730264,2426050033.569336,289709993.36242676,,101640003.2043457,6309000091.552734,10657991368.081654,2023007104.0,30898559612.27417,16183230242.729187,65635502703.85742,1524186319.2367554,1366295168.0,5757500000.0,6105484785.592998,9932699956.89392,5887518073.425293,16985100402.832031,3315420000.0,221980003.3569336,313684007263.18353,5346634328.155518,6505621072.998047,3407910067.558288,1657797482.1716754,154376127441.40625,18047409172.439575,105315213363.64746,19652849807.739258,13871129333.496094,4881985024.0,14975074982.971802
