Date,PYPL,SQ,SHOP,LC,GPN,CATM,GDOT,BL,ADYEY,STNE,LMND,ROOT,AFRM,INTU,OPEN,NCNO,BILL,UPST,GWRE,COIN,SOFI,FUSE,MELI,PAGS,LU,FTCV,DLO,MQ,AVLR,GSKY,QD,OSCR,RDFN,FLYW,BTRS,ZG,XROLF,AFTPY,CLOV,MILE,ALKT,BHG,COMP,DCT,ENV,EVER,HIPO,INTA,KPLT,PAY,PAYO,QTWO,FCH.L,SZL.AX,XRO.AX,ML,FLT,VIRT,LSPD.TO,KUX.SI,LDI
2016-10-25,52578341667.17529,3808079895.0195317,3696650142.6696777,1911000000.0,11271544609.069824,2480130054.4738765,1165350019.4549563,,,,,,,26893309249.87793,,,,,4230350055.69458,,,,7501161437.988281,,,,,,,,,,,,,6216800231.933594,1734694447.6890564,,,,,,,,1552299934.387207,,,,,,,1130000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-26,51388622222.90039,3856240013.1225586,3657549896.240235,1856399940.490723,11331541595.458984,2425049961.090088,1142399980.545044,,,,,,,26769169189.453125,,,,,4241299888.61084,,,,7484057861.328125,,,,,,,,,,,,,6070500144.958496,1782690000.0,,,,,,,,1507149967.1936035,,,,,,,1128000030.5175781,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-27,50611658332.8247,3835599868.774414,3514749870.300293,1852500000.0,11148477172.851562,2425560070.0378423,1134239988.3270264,,,,,,,26642548965.4541,,,,,4199689910.888673,,,,7430991455.078125,,,,,,,,,,,,,6026799869.5373535,1782690000.0,,,,,,,,1485649967.1936035,,,,,,,1120000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-28,50696637962.34131,3832160118.1030273,3471400012.9699707,1833000000.0,11166938056.9458,2481150077.8198237,1116899980.545044,971700031.2805175,,,,,,26856063491.821285,,,,,4232539966.583252,,,,7374856811.5234375,,,,,,,,,,,,,6093299942.016602,1782690000.0,,,,,,,,1507149967.1936035,,,,,,,1130000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-10-31,50575239814.7583,3852799934.387207,3523250064.8498535,1922699970.2453613,11156168518.066406,2550000000.0,1132200038.909912,932750000.0,,,,,,26997582412.719727,,,,,4193850055.69458,,,,7368276550.292969,,,,,,,,,,,,,6275699768.066406,1782690000.0,,,,,,,,1520049934.387207,,,,,,,1124000015.258789,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-01,50429561111.450195,3808079895.0195317,3466299896.240235,1895399940.490723,11037713050.842285,2493389968.8720703,1107719964.9810789,922089990.6158447,,,,,,26662409957.885742,,,,,4231079933.166504,,,,7446340698.2421875,,,,,,,,,,,,,6228199768.066406,1656530389.5378113,,,,,,,,1517899967.1936035,,,,,,,1121999969.4824219,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-02,50198898147.58301,4052319908.1420903,3703449974.0600586,1875899940.490723,10865418167.114258,2463810070.0378423,1099049961.090088,908149984.3597412,,,,,,26366957519.53125,,,,,4067560089.1113286,,,,7306878906.25,,,,,,,,,,,,,6579700202.941895,1656530389.5378113,,,,,,,,1444799934.387207,,,,,,,1061999969.4824219,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-03,50004658332.8247,4124559921.2646484,3434849987.0300293,1985100059.509277,10842342948.913574,2465849922.180176,1095989988.3270264,901179981.2316895,,,,,,26217992202.758785,,,,,4112820011.138916,,,,7274863830.566406,,,,,,,,,,,,,6606300086.975098,1656530389.5378113,,,,,,,,1459850032.8063965,,,,,,,1080000000.0,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-04,49652601852.41699,4189920104.980468,3327750129.699707,2000699970.2453613,10893108901.97754,2414849922.180176,1105680015.5639648,892980028.1524658,,,,,,26138548233.032227,,,,,4148590133.666992,,,,7319159240.722656,,,,,,,,,,,,,6437200202.941895,1656530389.5378113,,,,,,,,1453399967.1936035,,,,,,,1101999969.4824219,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
2016-11-07,50113918518.066414,4203680091.857909,3412750129.699707,2304899940.490723,11048484954.833984,2451569984.436035,1123020023.3459473,960220003.1280518,,,,,,26789026245.11719,,,,,4241299888.61084,,,,7423097290.0390625,,,,,,,,,,,,,6570200347.900391,1656530389.5378113,,,,,,,,1464149967.1936035,,,,,,,1184000015.258789,525832480.0,1205267968.0,21717121024.0,1366295168.0,22917681152.0,4881985024.0,12508817408.0,94359248.0,2023007104
